project,f1_mean,f1_median,f1_std,auc_mean,auc_median,auc_std,mcc_mean,mcc_median,mcc_std
ant,0.5369267541772996,0.5465428824049514,0.03857608388160304,0.7938346104725416,0.8014399744572158,0.023846288858745266,0.38761768654915235,0.39906455834697596,0.04868168821673371
camel-1.0,0.14566490743008284,0.1320872274143302,0.06038771148825285,0.6878306878306879,0.7028061224489797,0.06088306640007203,0.11675045000087486,0.11482469218484866,0.07363017744917938
camel-1.2,0.4582282377935795,0.4656473700591347,0.03554847512626992,0.6259393235030628,0.6257899324471562,0.02188580804679663,0.15727057454373436,0.15190823789394886,0.0360216156515618
camel-1.4,0.3596656344369479,0.36480517734718565,0.03586890359753621,0.6969232562205,0.6948138220383429,0.0238707726574126,0.2051910070642758,0.21353678599547024,0.04420916388518876
camel-1.6,0.371367424611299,0.38277646982939334,0.04790277656079079,0.6759434173669466,0.6795504201680672,0.01992668814959535,0.22140957917704476,0.2260681677964671,0.029281152691055343
ivy-1.1,0.6074773771957013,0.6188197767145136,0.12566008244841248,0.674973418394471,0.6982655502392344,0.08134196602599533,0.2161434629355904,0.23785847365130203,0.13182305606515363
ivy-1.4,0.13297321949933705,0.14642857142857144,0.06561086666416102,0.6175369458128077,0.6229885057471265,0.0819865902022918,0.06481987051581221,0.0743634557706166,0.07104699172789741
ivy-2.0,0.3249523998222314,0.3267191241874786,0.049784846494843236,0.7200935811256098,0.7222716488730723,0.04549229039715665,0.2281025635761648,0.22584189088781464,0.05997711463261506
log4j-1.0,0.468393487013206,0.4934691338827554,0.10923743822354337,0.725416518964906,0.7511520737327189,0.09289970695726858,0.26443614212101324,0.28423958315989584,0.11520296761322747
log4j-1.1,0.6061490031051768,0.6039701257861635,0.06345046662144828,0.7907541478129712,0.801923076923077,0.05548548117312182,0.3587963693788679,0.3446786022518601,0.11396394836649007
log4j-1.2,0.825717807526518,0.8296230896975048,0.10769182174574987,0.5667706302794021,0.5637426900584795,0.06974176033035628,0.005280055252052585,-0.0035951965166598878,0.08848032164868931
lucene-2.0,0.6307770117123401,0.6553368695328494,0.07170943020927531,0.699783774433489,0.701122210690192,0.04958532307393679,0.26654900605075865,0.2868938648947642,0.09884520041675733
lucene-2.2,0.6612770695224198,0.6693484684473829,0.055587374387091805,0.6454121863799284,0.6512820512820514,0.03571355737822447,0.1862149987346774,0.1987616529903149,0.053671623588518354
lucene-2.4,0.6865065265488073,0.710239651416122,0.07973232171254414,0.694693430871379,0.694815353428521,0.02796301922160838,0.2729435143765117,0.27982358913748595,0.061460315618718245
poi-1.5,0.7251381944346719,0.7385591526778578,0.047598646630755415,0.7149364950070896,0.7154719884152412,0.025577505675176485,0.29928042599747884,0.3114843545245356,0.05811738905977346
poi-2.0,0.2803991835820525,0.3030998851894374,0.11308783037893708,0.6987588235294118,0.7098235294117647,0.06142675113888625,0.179511134414802,0.20488868675941957,0.11582493527496322
poi-2.5,0.7666569888870293,0.788519087147727,0.06046549966592888,0.7420098886328724,0.7589015697004607,0.052093032120199834,0.33873895872523924,0.3601381162935505,0.0747141305855227
poi-3.0,0.8118344339185529,0.8206401623625121,0.03487950633764892,0.8172227522602334,0.8256031075371405,0.029605619732892285,0.4889369294958331,0.4874402508197323,0.07307738199346206
xalan-2.4,0.3979250480604045,0.4049776200030869,0.030872423711475284,0.7532267115600448,0.7609976577367883,0.02799166233574897,0.27654557742899477,0.28544344036787533,0.0452714819253542
xalan-2.5,0.5755264290564814,0.575874329582753,0.025770589609904356,0.6528201209805794,0.651847182425979,0.012182587956784828,0.2361557495785943,0.2342193016888477,0.018077813346281207
xalan-2.6,0.6952083027674779,0.6984224925781477,0.02007192348127075,0.7831927126189421,0.7855038293562884,0.016661212372333357,0.414054796009889,0.4106317923777249,0.028624709020949275
xalan-2.7,0.8127279873915537,0.8081603012372243,0.0696422664969111,0.7502389781623401,0.7663782447466008,0.12168629573428774,0.08110178044157684,0.08626205972173788,0.057694811544764385
xerces-1.2,0.234519727152412,0.2332310838445808,0.027586848062301005,0.4971236861861862,0.4899821696696697,0.04462058234636779,0.02228647861495227,0.02869872274557906,0.053192088168257275
xerces-1.3,0.34856753975010096,0.35643592433995974,0.04591533042118973,0.7123681071657949,0.7258005321589136,0.04538740217685976,0.2143830073736061,0.21250364401977379,0.052536768150158
xerces-1.4,0.875539902769218,0.8799453400911224,0.033686121582510296,0.8688181173484623,0.8696159301283966,0.03312109207422232,0.5634860262545569,0.5806078742926402,0.09411908100618009
